ID_RUAS,NO_RUAS,NAMA_RUAS,PANGKAL_RUAS,UJUNG_RUAS,LINGKUNGAN,ID_KELURAHAN,KODE_KELURAHAN,KELURAHAN,ID_KECAMATAN,,KECAMATAN,PANJANG,LEBAR,BAHU_JALAN,ID_PERKERASAN,PERKERASAN,ID_KONDISI,KONDISI,UTILITAS,START_X,START_Y,MID_X,MID_Y,END_X,END_Y,GEOMETRY,IMAGE
1107,1107,JALAN LINGKAR DALAM BERU,JALAN NASIONAL,JALAN URIP SUMOHARJO,BERU,25,1001,BERU,8,35.05.17,WLINGI,171.0196127,2,0,3,BETON,3,RUSAK RINGAN,,112.3206954,-8.086337762,112.3207545,-8.085565704,112.3214371,-8.085554751,"{""type"":""MultiLineString"",""coordinates"":[[[112.320695361,-8.086337761],[112.320761573,-8.085473191],[112.321136788,-8.085498896],[112.321437076,-8.085554751]]]}",1107.jpg
1108,1108,GANG BCA,JALAN URIP SUMOHARJO,BUNTU,BERU,25,1001,BERU,8,35.05.17,WLINGI,68.63886312,3,1,3,BETON,3,RUSAK RINGAN,BAHU JALAN,112.3221243,-8.084625364,112.3218448,-8.084488689,112.3215652,-8.084352014,"{""type"":""MultiLineString"",""coordinates"":[[[112.322124292,-8.084625364],[112.321565207,-8.084352014]]]}",1108.jpg
1109,1109,GANG ACI,JALAN URIP SUMOHARJO,BUNTU,BERU,25,1001,BERU,8,35.05.17,WLINGI,90.54123009,2,"0,3",3,BETON,3,RUSAK RINGAN,GORONG GORONG,112.3225214,-8.083990019,112.3221561,-8.083802777,112.3217909,-8.083615534,"{""type"":""MultiLineString"",""coordinates"":[[[112.322521362,-8.08399002],[112.321790889,-8.083615535]]]}",1109.jpg
1110,1110,JALAN KUBURAN,JALAN TEMBUS,KELURAHAN BABADAN,BERU,25,1001,BERU,8,35.05.17,WLINGI,258.1167925,3,1,3,BETON,3,RUSAK RINGAN,SALURAN IRIGASI SAWAH,112.3227055,-8.081871822,112.3233844,-8.080920712,112.3240941,-8.080144247,"{""type"":""MultiLineString"",""coordinates"":[[[112.322705499,-8.081871821],[112.323403283,-8.080894196],[112.323373068,-8.080831486],[112.32379418,-8.080208026],[112.323893037,-8.08015387],[112.324094074,-8.080144248]]]}",1110.jpg
1111,1111,JALAN PANJAITAN,JALAN URIP SUMOHARJO,JALAN DIPONEGORO,BERU,25,1001,BERU,8,35.05.17,WLINGI,263.2578211,3,"0,5",2,ASPAL,3,RUSAK RINGAN,BAHU JALAN,112.3232951,-8.082961653,112.3237697,-8.083804695,112.3236078,-8.084982456,"{""type"":""MultiLineString"",""coordinates"":[[[112.32329508,-8.082961653],[112.323812111,-8.083223174],[112.323866364,-8.083294779],[112.323854847,-8.083444359],[112.323795412,-8.083624002],[112.323774815,-8.083749684],[112.323766114,-8.083842429],[112.323754754,-8.084039862],[112.323743451,-8.084255239],[112.323607775,-8.084982456]]]}",1111.jpg
1112,1112,JALAN DIPONEGORO,JALAN URIP SUMOHARJO,JALAN PANJAITAN,BERU,25,1001,BERU,8,35.05.17,WLINGI,160.5618738,3,1,2,ASPAL,4,RUSAK BERAT,BAHU JALAN,112.3221932,-8.084635909,112.3229005,-8.084809182,112.3236078,-8.084982456,"{""type"":""MultiLineString"",""coordinates"":[[[112.32219315,-8.084635909],[112.323607775,-8.084982456]]]}",1112.jpg
1113,1113,JALAN TEMBUS PANJAITAN,JALAN DIPONEGORO,JALAN IMAM BONJOL,BERU,25,1001,BERU,8,35.05.17,WLINGI,181.7160997,3,"0,5",2,ASPAL,3,RUSAK RINGAN,SALURAN AIR KANAN KIRI,112.3232059,-8.084884002,112.323098,-8.085697647,112.3229051,-8.086496307,"{""type"":""MultiLineString"",""coordinates"":[[[112.323205878,-8.084884002],[112.32312892,-8.085569615],[112.322905061,-8.086496307]]]}",1113.jpg
1114,1114,JALAN IMAM BONJOL,SIMPANG UKS,BUNTU,BERU,25,1001,BERU,8,35.05.17,WLINGI,215.3298647,4,1,2,ASPAL,4,RUSAK BERAT,SALURAN AIR KANAN KIRI,112.3209529,-8.086420075,112.321929,-8.086458191,112.3229051,-8.086496307,"{""type"":""MultiLineString"",""coordinates"":[[[112.320952921,-8.086420075],[112.322905061,-8.086496307]]]}",1114.jpg
1115,1115,GANG IMAM BONJOL 1,JALAN IMAM BONJOL,BUNTU,BERU,25,1001,BERU,8,35.05.17,WLINGI,102.0231949,3,"0,5",3,BETON,3,RUSAK RINGAN,BAHU JALAN,112.3219794,-8.086460161,112.3219665,-8.086921223,112.3219536,-8.087382286,"{""type"":""MultiLineString"",""coordinates"":[[[112.321979401,-8.086460161],[112.321953609,-8.087382286]]]}",1115.jpg
1116,1116,JALAN LETJEN SUPRAPTO,JALAN AHMAD YANI,BUNTU,NGAMBAK,25,1001,BERU,8,35.05.17,WLINGI,184.792431,2.5,"0,5",2,ASPAL,4,RUSAK BERAT,BAHU JALAN,112.3207791,-8.087231756,112.3199434,-8.087166264,112.3191077,-8.087100773,"{""type"":""MultiLineString"",""coordinates"":[[[112.3207791,-8.087231756],[112.319107677,-8.087100772]]]}",1116.jpg
